"attribute_1";"attribute_2";"attribute_3";"attribute_4";"attribute_5";"attribute_6";"attribute_7";"attribute_8";"attribute_9";"attribute_10";"attribute_11";"attribute_12";"attribute_13";"attribute_14";"attribute_15";"attribute_16";"attribute_17";"attribute_18";"attribute_19";"attribute_20";"attribute_21";"attribute_22";"attribute_23";"attribute_24";"attribute_25";"attribute_26";"attribute_27";"attribute_28";"attribute_29";"attribute_30";"attribute_31";"attribute_32";"attribute_33";"attribute_34";"attribute_35";"attribute_36";"attribute_37";"attribute_38";"attribute_39";"attribute_40";"attribute_41";"attribute_42";"attribute_43";"attribute_44";"attribute_45";"attribute_46";"attribute_47";"attribute_48";"attribute_49";"attribute_50";"attribute_51";"attribute_52";"attribute_53";"attribute_54";"attribute_55";"attribute_56";"attribute_57";"attribute_58";"attribute_59";"attribute_60";"class"
0.0164;0.0627;0.0738;0.0608;0.0233;0.1048;0.1338;0.0644;0.1522;0.078;0.1791;0.2681;0.1788;0.1039;0.198;0.3234;0.3748;0.2586;0.368;0.3508;0.5606;0.5231;0.5469;0.6954;0.6352;0.6757;0.8499;0.8025;0.6563;0.8591;0.6655;0.5369;0.3118;0.3763;0.2801;0.0875;0.3319;0.4237;0.1801;0.3743;0.4627;0.1614;0.2494;0.3202;0.2265;0.1146;0.0476;0.0943;0.0824;0.0171;0.0244;0.0258;0.0143;0.0226;0.0187;0.0185;0.011;0.0094;0.0078;0.0112;"Mine"
0.0412;0.1135;0.0518;0.0232;0.0646;0.1124;0.1787;0.2407;0.2682;0.2058;0.1546;0.2671;0.3141;0.2904;0.3531;0.5079;0.4639;0.1859;0.4474;0.4079;0.54;0.4786;0.4332;0.6113;0.5091;0.4606;0.7243;0.8987;0.8826;0.9201;0.8005;0.6033;0.212;0.2866;0.4033;0.2803;0.3087;0.355;0.2545;0.1432;0.5869;0.6431;0.5826;0.4286;0.4894;0.5777;0.4315;0.264;0.1794;0.0772;0.0798;0.0376;0.0143;0.0272;0.0127;0.0166;0.0095;0.0225;0.0098;0.0085;"Mine"
0.0707;0.1252;0.1447;0.1644;0.1693;0.0844;0.0715;0.0947;0.1583;0.1247;0.234;0.1764;0.2284;0.3115;0.4725;0.5543;0.5386;0.3746;0.4583;0.5961;0.7464;0.7644;0.5711;0.6257;0.6695;0.7131;0.7567;0.8077;0.8477;0.9289;0.9513;0.7995;0.4362;0.4048;0.4952;0.1712;0.3652;0.3763;0.2841;0.0427;0.5331;0.6952;0.4288;0.3063;0.5835;0.5692;0.263;0.1196;0.0983;0.0374;0.0291;0.0156;0.0197;0.0135;0.0127;0.0138;0.0133;0.0131;0.0154;0.0218;"Mine"
0.0526;0.0563;0.1219;0.1206;0.0246;0.1022;0.0539;0.0439;0.2291;0.1632;0.2544;0.2807;0.3011;0.3361;0.3024;0.2285;0.291;0.1316;0.1151;0.3404;0.5562;0.6379;0.6553;0.7384;0.6534;0.5423;0.6877;0.7325;0.7726;0.8229;0.8787;0.9108;0.6705;0.6092;0.7505;0.4775;0.1666;0.3749;0.3776;0.2106;0.5886;0.5628;0.2577;0.5245;0.6149;0.5123;0.3385;0.1499;0.0546;0.027;0.038;0.0339;0.0149;0.0335;0.0376;0.0174;0.0132;0.0103;0.0364;0.0208;"Mine"
0.0516;0.0944;0.0622;0.0415;0.0995;0.2431;0.1777;0.2018;0.2611;0.1294;0.2646;0.2778;0.4432;0.3672;0.2035;0.2764;0.3252;0.1536;0.2784;0.3508;0.5187;0.7052;0.7143;0.6814;0.51;0.5308;0.6131;0.8388;0.9031;0.8607;0.9656;0.9168;0.7132;0.6898;0.731;0.4134;0.158;0.1819;0.1381;0.296;0.6935;0.8246;0.5351;0.4403;0.6448;0.6214;0.3016;0.1379;0.0364;0.0355;0.0456;0.0432;0.0274;0.0152;0.012;0.0129;0.002;0.0109;0.0074;0.0078;"Mine"
0.0299;0.0688;0.0992;0.1021;0.08;0.0629;0.013;0.0813;0.1761;0.0998;0.0523;0.0904;0.2655;0.3099;0.352;0.3892;0.3962;0.2449;0.2355;0.3045;0.3112;0.4698;0.5534;0.4532;0.4464;0.467;0.4621;0.6988;0.7626;0.7025;0.7382;0.7446;0.7927;0.5227;0.3967;0.3042;0.1309;0.2408;0.178;0.1598;0.5657;0.6443;0.4241;0.4567;0.576;0.5293;0.3287;0.1283;0.0698;0.0334;0.0342;0.0459;0.0277;0.0172;0.0087;0.0046;0.0203;0.013;0.0115;0.0015;"Mine"
0.0721;0.1574;0.1112;0.1085;0.0666;0.18;0.1108;0.2794;0.1408;0.0795;0.2534;0.392;0.3375;0.161;0.1889;0.3308;0.2282;0.2177;0.1853;0.5167;0.5342;0.6298;0.8437;0.6756;0.5825;0.6141;0.8809;0.8375;0.3869;0.5051;0.5455;0.4241;0.1534;0.495;0.6983;0.7109;0.5647;0.487;0.5515;0.4433;0.525;0.6075;0.5251;0.1359;0.4268;0.4442;0.2193;0.09;0.12;0.0628;0.0234;0.0309;0.0127;0.0082;0.0281;0.0117;0.0092;0.0147;0.0157;0.0129;"Mine"
0.1021;0.083;0.0577;0.0627;0.0635;0.1328;0.0988;0.1787;0.1199;0.1369;0.2509;0.2631;0.2796;0.2977;0.3823;0.3129;0.3956;0.2093;0.3218;0.3345;0.3184;0.2887;0.361;0.2566;0.4106;0.4591;0.4722;0.7278;0.7591;0.6579;0.7514;0.6666;0.4903;0.5962;0.6552;0.4014;0.1188;0.3245;0.3107;0.1354;0.5109;0.7988;0.7517;0.5508;0.5858;0.7292;0.5522;0.3339;0.1608;0.0475;0.1004;0.0709;0.0317;0.0309;0.0252;0.0087;0.0177;0.0214;0.0227;0.0106;"Mine"
0.0654;0.0649;0.0737;0.1132;0.2482;0.1257;0.1797;0.0989;0.246;0.3422;0.2128;0.1377;0.4032;0.5684;0.2398;0.4331;0.5954;0.5772;0.8176;0.8835;0.5248;0.6373;0.8375;0.6699;0.7756;0.875;0.83;0.6896;0.3372;0.6405;0.7138;0.8202;0.6657;0.5254;0.296;0.0704;0.097;0.3941;0.6028;0.3521;0.3924;0.4808;0.4602;0.4164;0.5438;0.5649;0.3195;0.2484;0.1299;0.0825;0.0243;0.021;0.0361;0.0239;0.0447;0.0394;0.0355;0.044;0.0243;0.0098;"Mine"
0.0712;0.0901;0.1276;0.1497;0.1284;0.1165;0.1285;0.1684;0.183;0.2127;0.2891;0.3985;0.4576;0.5821;0.5027;0.193;0.2579;0.3177;0.2745;0.6186;0.8958;0.7442;0.5188;0.2811;0.1773;0.6607;0.7576;0.5122;0.4701;0.5479;0.4347;0.1276;0.0846;0.0927;0.0313;0.0998;0.1781;0.1586;0.3001;0.2208;0.1455;0.2895;0.3203;0.1414;0.0629;0.0734;0.0805;0.0608;0.0565;0.0286;0.0154;0.0154;0.0156;0.0054;0.003;0.0048;0.0087;0.0101;0.0095;0.0068;"Mine"
0.0207;0.0535;0.0334;0.0818;0.074;0.0324;0.0918;0.107;0.1553;0.1234;0.1796;0.1787;0.1247;0.2577;0.337;0.399;0.1647;0.2266;0.3219;0.5356;0.8159;1.0;0.8701;0.6889;0.6299;0.5738;0.5707;0.5976;0.4301;0.2058;0.1;0.2247;0.2308;0.3977;0.3317;0.1726;0.1429;0.2168;0.1967;0.214;0.3674;0.2023;0.0778;0.0925;0.2388;0.34;0.2594;0.1102;0.0911;0.0462;0.0171;0.0033;0.005;0.019;0.0103;0.0121;0.0042;0.009;0.007;0.0099;"Mine"
0.0209;0.0278;0.0115;0.0445;0.0427;0.0766;0.1458;0.143;0.1894;0.1853;0.1748;0.1556;0.1476;0.1378;0.2584;0.3827;0.4784;0.536;0.6192;0.7912;0.9264;1.0;0.908;0.7435;0.5557;0.3172;0.1295;0.0598;0.2722;0.3616;0.3293;0.4855;0.3936;0.1845;0.0342;0.2489;0.3837;0.3514;0.2654;0.176;0.1599;0.0866;0.059;0.0813;0.0492;0.0417;0.0495;0.0367;0.0115;0.0118;0.0133;0.0096;0.0014;0.0049;0.0039;0.0029;0.0078;0.0047;0.0021;0.0011;"Mine"
0.0231;0.0315;0.017;0.0226;0.041;0.0116;0.0223;0.0805;0.2365;0.2461;0.2245;0.152;0.1732;0.3099;0.438;0.5595;0.682;0.6164;0.6803;0.8435;0.9921;1.0;0.7983;0.5426;0.3952;0.5179;0.565;0.3042;0.1881;0.396;0.2286;0.3544;0.4187;0.2398;0.1847;0.376;0.4331;0.3626;0.2519;0.187;0.1046;0.2339;0.1991;0.11;0.0684;0.0303;0.0674;0.0785;0.0455;0.0246;0.0151;0.0125;0.0036;0.0123;0.0043;0.0114;0.0052;0.0091;8.0E-4;0.0092;"Mine"
0.0131;0.0201;0.0045;0.0217;0.023;0.0481;0.0742;0.0333;0.1369;0.2079;0.2295;0.199;0.1184;0.1891;0.2949;0.5343;0.685;0.7923;0.822;0.729;0.7352;0.7918;0.8057;0.4898;0.1934;0.2924;0.6255;0.8546;0.8966;0.7821;0.5168;0.484;0.4038;0.3411;0.2849;0.2353;0.2699;0.4442;0.4323;0.3314;0.1195;0.1669;0.3702;0.3072;0.0945;0.1545;0.1394;0.0772;0.0615;0.023;0.0111;0.0168;0.0086;0.0045;0.0062;0.0065;0.003;0.0066;0.0029;0.0053;"Mine"
0.0233;0.0394;0.0416;0.0547;0.0993;0.1515;0.1674;0.1513;0.1723;0.2078;0.1239;0.0236;0.1771;0.3115;0.499;0.6707;0.7655;0.8485;0.9805;1.0;1.0;0.9992;0.9067;0.6803;0.5103;0.4716;0.498;0.6196;0.7171;0.6316;0.3554;0.2897;0.4316;0.3791;0.2421;0.0944;0.0351;0.0844;0.0436;0.113;0.2045;0.1937;0.0834;0.1502;0.1675;0.1058;0.1111;0.0849;0.0596;0.0201;0.0071;0.0104;0.0062;0.0026;0.0025;0.0061;0.0038;0.0101;0.0078;6.0E-4;"Mine"
0.0117;0.0069;0.0279;0.0583;0.0915;0.1267;0.1577;0.1927;0.2361;0.2169;0.118;0.0754;0.2782;0.3758;0.5093;0.6592;0.7071;0.7532;0.8357;0.8593;0.9615;0.9838;0.8705;0.6403;0.5067;0.5395;0.6934;0.8487;0.8213;0.5962;0.295;0.2758;0.2885;0.1893;0.1446;0.0955;0.0888;0.0836;0.0894;0.1547;0.2318;0.2225;0.1035;0.1721;0.2017;0.1787;0.1112;0.0398;0.0305;0.0084;0.0039;0.0053;0.0029;0.002;0.0013;0.0029;0.002;0.0062;0.0026;0.0052;"Mine"
0.0211;0.0128;0.0015;0.045;0.0711;0.1563;0.1518;0.1206;0.1666;0.1345;0.0785;0.0367;0.1227;0.2614;0.428;0.6122;0.7435;0.813;0.9006;0.9603;0.9162;0.914;0.7851;0.5134;0.3439;0.329;0.2571;0.3685;0.5765;0.619;0.4613;0.3615;0.4434;0.3864;0.3093;0.2138;0.1112;0.1386;0.1523;0.0996;0.1644;0.1902;0.1313;0.1776;0.2;0.0765;0.0727;0.0749;0.0449;0.0134;0.0174;0.0117;0.0023;0.0047;0.0049;0.0031;0.0024;0.0039;0.0051;0.0015;"Mine"
0.0047;0.0059;0.008;0.0554;0.0883;0.1278;0.1674;0.1373;0.2922;0.3469;0.3265;0.3263;0.2301;0.1253;0.2102;0.2401;0.1928;0.1673;0.1228;0.0902;0.1557;0.3291;0.5268;0.674;0.7906;0.8938;0.9395;0.9493;0.904;0.9151;0.8828;0.8086;0.718;0.672;0.6447;0.6879;0.6241;0.4936;0.4144;0.424;0.4546;0.4392;0.4323;0.4921;0.471;0.3196;0.2241;0.1806;0.099;0.0251;0.0129;0.0095;0.0126;0.0069;0.0039;0.0068;0.006;0.0045;2.0E-4;0.0029;"Mine"
0.0201;0.0178;0.0274;0.0232;0.0724;0.0833;0.1232;0.1298;0.2085;0.272;0.2188;0.3037;0.2959;0.2059;0.0906;0.161;0.18;0.218;0.2026;0.1506;0.0521;0.2143;0.4333;0.5943;0.6926;0.7576;0.8787;0.906;0.8528;0.9087;0.9657;0.9306;0.7774;0.6643;0.6604;0.6884;0.6938;0.5932;0.5774;0.6223;0.5841;0.4527;0.4911;0.5762;0.5013;0.4042;0.3123;0.2232;0.1085;0.0414;0.0253;0.0131;0.0049;0.0104;0.0102;0.0092;0.0083;0.002;0.0048;0.0036;"Mine"
0.0107;0.0453;0.0289;0.0713;0.1075;0.1019;0.1606;0.2119;0.3061;0.2936;0.3104;0.3431;0.2456;0.1887;0.1184;0.208;0.2736;0.3274;0.2344;0.126;0.0576;0.1241;0.3239;0.4357;0.5734;0.7825;0.9252;0.9349;0.9348;1.0;0.9308;0.8478;0.7605;0.704;0.7539;0.799;0.7673;0.5955;0.4731;0.484;0.434;0.3954;0.4837;0.5379;0.4485;0.2674;0.1541;0.1359;0.0941;0.0261;0.0079;0.0164;0.012;0.0113;0.0021;0.0097;0.0072;0.006;0.0017;0.0036;"Mine"
0.0235;0.022;0.0167;0.0516;0.0746;0.1121;0.1258;0.1717;0.3074;0.3199;0.2946;0.2484;0.251;0.1806;0.1413;0.3019;0.3635;0.3887;0.298;0.2219;0.1624;0.1343;0.2046;0.3791;0.5771;0.7545;0.8406;0.8547;0.9036;1.0;0.9646;0.7912;0.6412;0.5986;0.6835;0.7771;0.8084;0.7426;0.6295;0.5708;0.4433;0.3361;0.3795;0.495;0.4373;0.2404;0.1128;0.1654;0.0933;0.0225;0.0214;0.0221;0.0152;0.0083;0.0058;0.0023;0.0057;0.0052;0.0027;0.0021;"Mine"
0.0258;0.0433;0.0547;0.0681;0.0784;0.125;0.1296;0.1729;0.2794;0.2954;0.2506;0.2601;0.2249;0.2115;0.127;0.1193;0.1794;0.2185;0.1646;0.074;0.0625;0.2381;0.4824;0.6372;0.7531;0.8959;0.9941;0.9957;0.9328;0.9344;0.8854;0.769;0.6865;0.639;0.6378;0.6629;0.5983;0.4565;0.3129;0.4158;0.4325;0.4031;0.4201;0.4557;0.3955;0.2966;0.2095;0.1558;0.0884;0.0265;0.0121;0.0091;0.0062;0.0019;0.0045;0.0079;0.0031;0.0063;0.0048;0.005;"Mine"
0.0305;0.0363;0.0214;0.0227;0.0456;0.0665;0.0939;0.0972;0.2535;0.3127;0.2192;0.2621;0.2419;0.2179;0.1159;0.1237;0.0886;0.1755;0.1758;0.154;0.0512;0.1805;0.4039;0.5697;0.6577;0.7474;0.8543;0.9085;0.8668;0.8892;0.9065;0.8522;0.7204;0.62;0.6253;0.6848;0.7337;0.6281;0.5725;0.6119;0.5597;0.4965;0.5027;0.5772;0.5907;0.4803;0.3877;0.2779;0.1427;0.0424;0.0271;0.02;0.007;0.007;0.0086;0.0089;0.0074;0.0042;0.0055;0.0021;"Mine"
0.0217;0.0152;0.0346;0.0346;0.0484;0.0526;0.0773;0.0862;0.1451;0.211;0.2343;0.2087;0.1645;0.1689;0.165;0.1967;0.2934;0.3709;0.4309;0.4161;0.5116;0.6501;0.7717;0.8491;0.9104;0.8912;0.8189;0.6779;0.5368;0.5207;0.5651;0.5749;0.525;0.4255;0.333;0.2331;0.1451;0.1648;0.2694;0.373;0.4467;0.4133;0.3743;0.3021;0.2069;0.179;0.1689;0.1341;0.0769;0.0222;0.0205;0.0123;0.0067;0.0011;0.0026;0.0049;0.0029;0.0022;0.0022;0.0032;"Mine"
0.0072;0.0027;0.0089;0.0061;0.042;0.0865;0.1182;0.0999;0.1976;0.2318;0.2472;0.288;0.2126;0.0708;0.1194;0.2808;0.4221;0.5279;0.5857;0.6153;0.6753;0.7873;0.8974;0.9828;1.0;0.846;0.6055;0.3036;0.0144;0.2526;0.4335;0.4918;0.5409;0.5961;0.5248;0.3777;0.2369;0.172;0.1878;0.325;0.2575;0.2423;0.2706;0.2323;0.1724;0.1457;0.1175;0.0868;0.0392;0.0131;0.0092;0.0078;0.0071;0.0081;0.0034;0.0064;0.0037;0.0036;0.0012;0.0037;"Mine"
0.0163;0.0198;0.0202;0.0386;0.0752;0.1444;0.1487;0.1484;0.2442;0.2822;0.3691;0.375;0.3927;0.3308;0.1085;0.1139;0.3446;0.5441;0.647;0.7276;0.7894;0.8264;0.8697;0.7836;0.714;0.5698;0.2908;0.4636;0.6409;0.7405;0.8069;0.842;1.0;0.9536;0.6755;0.3905;0.1249;0.3629;0.6356;0.8116;0.7664;0.5417;0.2614;0.1723;0.2814;0.2764;0.1985;0.1502;0.1219;0.0493;0.0027;0.0077;0.0026;0.0031;0.0083;0.002;0.0084;0.0108;0.0083;0.0033;"Mine"
0.0221;0.0065;0.0164;0.0487;0.0519;0.0849;0.0812;0.1833;0.2228;0.181;0.2549;0.2984;0.2624;0.1893;0.0668;0.2666;0.4274;0.6291;0.7782;0.7686;0.8099;0.8493;0.944;0.945;0.9655;0.8045;0.4969;0.396;0.3856;0.5574;0.7309;0.8549;0.9425;0.8726;0.6673;0.4694;0.1546;0.1748;0.3607;0.5208;0.5177;0.3702;0.224;0.0816;0.0395;0.0785;0.1052;0.1034;0.0764;0.0216;0.0167;0.0089;0.0051;0.0015;0.0075;0.0058;0.0016;0.007;0.0074;0.0038;"Mine"
